ID Cliente;Churn;Genero;Cidadao Idoso; Possui Parceiro(a);Dependentes;Tempo Permanencia;Servico Telefone;Multiplas linhas;Servico Internet;Seguranca Online;Backup Online;Protecao Dispositivo;Suporte Tecnico;Streaming TV;Streaming Filmes;Contrato;Fatura Online;Metodo Pagamento;Gasto Diario;Gasto Mensal;Gasto Total
0017-DINOC;Nao;Masculino;Nao;Nao;Nao;54;Nao;Sem servico de telefone;DSL;Sim;Nao;Nao;Sim;Sim;Nao;Dois anos;Nao;Cartao de credito (automatico);1.51;45.2;2460.55
0017-IUDMW;Nao;Feminino;Nao;Sim;Sim;72;Sim;Sim;Fibra otica;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Cartao de credito (automatico);3.89;116.8;8456.75
0018-NYROU;Nao;Feminino;Nao;Sim;Nao;5;Sim;Nao;Fibra otica;Nao;Nao;Nao;Nao;Nao;Nao;Mensal;Sim;Cheque Eletronico;2.3;68.95;351.5
0019-EFAEP;Nao;Feminino;Nao;Nao;Nao;72;Sim;Sim;Fibra otica;Sim;Sim;Sim;Nao;Sim;Nao;Dois anos;Sim;Transferencia bancaria;3.38;101.3;7261.25
0019-GFNTW;Nao;Feminino;Nao;Nao;Nao;56;Nao;Sem servico de telefone;DSL;Sim;Sim;Sim;Sim;Nao;Nao;Dois anos;Nao;Transferencia bancaria;1.5;45.05;2560.1
0020-INWCK;Nao;Feminino;Nao;Sim;Sim;71;Sim;Sim;Fibra otica;Nao;Sim;Sim;Nao;Nao;Sim;Dois anos;Sim;Cartao de credito (automatico);3.19;95.75;6849.4
0020-JDNXP;Nao;Feminino;Nao;Sim;Sim;34;Nao;Sem servico de telefone;DSL;Sim;Nao;Sim;Sim;Sim;Sim;Um ano;Nao;Cheque;2.04;61.25;1993.2
0021-IKXGC;Nao;Feminino;Sim;Nao;Nao;1;Sim;Sim;Fibra otica;Nao;Nao;Nao;Nao;Nao;Nao;Mensal;Sim;Cheque Eletronico;2.4;72.1;72.1
0022-TCJCI;Sim;Masculino;Sim;Nao;Nao;45;Sim;Nao;DSL;Sim;Nao;Sim;Nao;Nao;Sim;Um ano;Nao;Cartao de credito (automatico);2.09;62.7;2791.5
0023-HGHWL;Sim;Masculino;Sim;Nao;Nao;1;Nao;Sem servico de telefone;DSL;Nao;Nao;Nao;Nao;Nao;Nao;Mensal;Sim;Cheque Eletronico;0.84;25.1;25.1
0023-UYUPN;Nao;Feminino;Sim;Sim;Nao;50;Sim;Sim;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Um ano;Nao;Cheque Eletronico;0.84;25.2;1306.3
0023-XUOPT;Sim;Feminino;Nao;Sim;Nao;13;Sim;Sim;Fibra otica;Nao;Sim;Sim;Nao;Sim;Nao;Mensal;Nao;Cheque Eletronico;3.14;94.1;1215.6
0027-KWYKW;Nao;Feminino;Nao;Sim;Sim;23;Sim;Sim;Fibra otica;Nao;Nao;Nao;Nao;Sim;Nao;Mensal;Sim;Cheque Eletronico;2.79;83.75;1849.95
0030-FNXPP;Nao;Feminino;Nao;Nao;Nao;3;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Nao;Cheque;0.66;19.85;57.2
0031-PVLZI;Sim;Feminino;Nao;Sim;Sim;4;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Nao;Cheque;0.68;20.35;76.35
0032-PGELS;Sim;Feminino;Nao;Sim;Sim;1;Nao;Sem servico de telefone;DSL;Sim;Nao;Nao;Nao;Nao;Nao;Mensal;Nao;Transferencia bancaria;1.02;30.5;30.5
0036-IHMOT;Nao;Feminino;Nao;Sim;Sim;55;Sim;Nao;Fibra otica;Nao;Sim;Sim;Sim;Sim;Sim;Um ano;Sim;Transferencia bancaria;3.46;103.7;5656.75
0040-HALCW;Nao;Masculino;Nao;Sim;Sim;54;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Dois anos;Nao;Cartao de credito (automatico);0.68;20.4;1090.6
0042-JVWOJ;Nao;Masculino;Nao;Nao;Nao;26;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Um ano;Sim;Transferencia bancaria;0.65;19.6;471.85
0042-RLHYP;Nao;Feminino;Nao;Sim;Sim;69;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Dois anos;Nao;Transferencia bancaria;0.66;19.7;1396.9
0048-LUMLS;Nao;Masculino;Nao;Sim;Sim;37;Sim;Nao;Fibra otica;Nao;Nao;Nao;Nao;Sim;Sim;Um ano;Nao;Cartao de credito (automatico);3.04;91.2;3247.55
0048-PIHNL;Nao;Feminino;Nao;Sim;Nao;49;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Um ano;Nao;Transferencia bancaria;0.68;20.45;900.9
0052-DCKON;Nao;Masculino;Nao;Sim;Nao;66;Sim;Sim;Fibra otica;Sim;Sim;Sim;Sim;Sim;Sim;Um ano;Nao;Transferencia bancaria;3.86;115.8;7942.15
0052-YNYOT;Nao;Feminino;Nao;Nao;Nao;67;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Um ano;Nao;Cheque Eletronico;0.68;20.55;1343.4
0056-EPFBG;Nao;Masculino;Nao;Sim;Sim;20;Nao;Sem servico de telefone;DSL;Sim;Nao;Sim;Sim;Nao;Nao;Dois anos;Sim;Cartao de credito (automatico);1.31;39.4;825.4
0057-QBUQH;Nao;Feminino;Nao;Nao;Sim;43;Sim;Sim;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Dois anos;Sim;Cheque Eletronico;0.84;25.1;1070.15
0058-EVZWM;Nao;Feminino;Nao;Sim;Nao;55;Sim;Sim;Fibra otica;Sim;Nao;Nao;Nao;Sim;Nao;Mensal;Sim;Transferencia bancaria;2.99;89.8;4959.6
0060-FUALY;Nao;Feminino;Nao;Sim;Nao;59;Sim;Sim;Fibra otica;Sim;Sim;Nao;Nao;Sim;Nao;Mensal;Sim;Cheque Eletronico;3.16;94.75;5597.65
0064-SUDOG;Nao;Feminino;Nao;Sim;Sim;12;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Dois anos;Nao;Transferencia bancaria;0.68;20.3;224.5
0064-YIJGF;Nao;Masculino;Nao;Sim;Sim;27;Sim;Sim;Fibra otica;Nao;Nao;Nao;Nao;Nao;Nao;Mensal;Sim;Transferencia bancaria;2.52;75.75;1929.0
0067-DKWBL;Sim;Masculino;Sim;Nao;Nao;2;Sim;Nao;DSL;Sim;Nao;Nao;Nao;Nao;Nao;Mensal;Sim;Cheque Eletronico;1.64;49.25;91.1
0068-FIGTF;Nao;Feminino;Nao;Nao;Nao;27;Sim;Nao;DSL;Nao;Sim;Sim;Sim;Sim;Sim;Um ano;Nao;Cheque;2.61;78.2;2078.95
0071-NDAFP;Nao;Masculino;Nao;Sim;Sim;25;Sim;Sim;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Dois anos;Nao;Cartao de credito (automatico);0.85;25.5;630.6
0074-HDKDG;Nao;Masculino;Nao;Sim;Sim;25;Sim;Nao;DSL;Sim;Sim;Sim;Nao;Nao;Nao;Um ano;Sim;Transferencia bancaria;2.05;61.6;1611.0
0076-LVEPS;Nao;Masculino;Nao;Nao;Sim;29;Nao;Sem servico de telefone;DSL;Sim;Sim;Sim;Sim;Nao;Nao;Mensal;Sim;Cheque;1.5;45.0;1242.45
0078-XZMHT;Nao;Masculino;Nao;Sim;Nao;72;Sim;Sim;DSL;Nao;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Transferencia bancaria;2.84;85.15;6316.2
0080-EMYVY;Nao;Feminino;Nao;Nao;Nao;14;Sim;Nao;DSL;Nao;Sim;Nao;Nao;Nao;Nao;Um ano;Nao;Cartao de credito (automatico);1.72;51.45;727.85
0080-OROZO;Nao;Feminino;Nao;Nao;Nao;35;Sim;Nao;Fibra otica;Nao;Nao;Sim;Sim;Sim;Sim;Um ano;Sim;Cheque Eletronico;3.31;99.25;3532.0
0082-LDZUE;Nao;Masculino;Nao;Nao;Nao;1;Sim;Nao;DSL;Nao;Nao;Nao;Nao;Nao;Nao;Mensal;Sim;Cheque;1.48;44.3;44.3
0082-OQIQY;Nao;Masculino;Nao;Nao;Nao;29;Sim;Nao;Fibra otica;Nao;Nao;Nao;Sim;Sim;Sim;Mensal;Sim;Cheque Eletronico;3.14;94.2;2607.6
0083-PIVIK;Nao;Masculino;Nao;Nao;Nao;64;Sim;Sim;DSL;Sim;Sim;Sim;Sim;Sim;Nao;Um ano;Nao;Cheque Eletronico;2.71;81.25;5567.55
0089-IIQKO;Nao;Feminino;Nao;Sim;Sim;39;Sim;Sim;Fibra otica;Nao;Nao;Nao;Sim;Sim;Sim;Mensal;Sim;Cartao de credito (automatico);3.33;99.95;3767.4
0093-EXYQL;Nao;Feminino;Sim;Nao;Nao;40;Sim;Nao;Fibra otica;Nao;Nao;Nao;Nao;Sim;Sim;Mensal;Sim;Cheque Eletronico;3.05;91.55;3673.6
0093-XWZFY;Sim;Masculino;Nao;Nao;Nao;40;Sim;Sim;Fibra otica;Nao;Sim;Sim;Nao;Sim;Sim;Mensal;Sim;Cartao de credito (automatico);3.48;104.5;4036.85
0094-OIFMO;Sim;Feminino;Sim;Nao;Nao;11;Sim;Nao;Fibra otica;Nao;Sim;Nao;Nao;Sim;Sim;Mensal;Sim;Cheque Eletronico;3.17;95.0;1120.3
0096-BXERS;Nao;Feminino;Nao;Sim;Nao;6;Sim;Sim;DSL;Nao;Nao;Nao;Nao;Nao;Nao;Mensal;Nao;Cheque Eletronico;1.68;50.35;314.55
0096-FCPUF;Nao;Masculino;Nao;Nao;Nao;30;Sim;Sim;DSL;Sim;Nao;Nao;Nao;Nao;Sim;Mensal;Sim;Cheque;2.15;64.5;1888.45
0098-BOWSO;Nao;Masculino;Nao;Nao;Nao;27;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Sim;Cheque Eletronico;0.65;19.4;529.8
0100-DUVFC;Nao;Masculino;Sim;Sim;Nao;70;Sim;Sim;Fibra otica;Nao;Sim;Sim;Nao;Sim;Sim;Um ano;Sim;Cheque Eletronico;3.49;104.8;7308.95
0103-CSITQ;Nao;Feminino;Nao;Sim;Nao;57;Sim;Sim;Fibra otica;Nao;Sim;Sim;Sim;Sim;Sim;Um ano;Sim;Transferencia bancaria;3.65;109.4;6252.7
0104-PPXDV;Nao;Masculino;Nao;Sim;Nao;58;Sim;Nao;DSL;Nao;Nao;Sim;Nao;Nao;Nao;Um ano;Nao;Cartao de credito (automatico);1.68;50.3;2878.55
0106-GHRQR;Nao;Masculino;Nao;Nao;Nao;16;Sim;Sim;DSL;Nao;Sim;Sim;Nao;Nao;Sim;Mensal;Sim;Transferencia bancaria;2.38;71.4;1212.1
0106-UGRDO;Nao;Feminino;Nao;Sim;Nao;69;Sim;Sim;Fibra otica;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Cheque Eletronico;3.87;116.0;8182.85
0107-WESLM;Sim;Masculino;Nao;Nao;Nao;1;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Sim;Cheque Eletronico;0.66;19.85;19.85
0107-YHINA;Sim;Masculino;Nao;Nao;Sim;1;Sim;Sim;Fibra otica;Nao;Nao;Sim;Nao;Sim;Sim;Mensal;Sim;Cheque Eletronico;3.32;99.75;99.75
0111-KLBQG;Nao;Masculino;Sim;Sim;Sim;32;Sim;Nao;Fibra otica;Nao;Sim;Nao;Nao;Sim;Sim;Mensal;Sim;Cheque;3.13;93.95;2861.45
0112-QAWRZ;Nao;Masculino;Nao;Sim;Sim;16;Sim;Sim;Fibra otica;Nao;Nao;Sim;Nao;Sim;Nao;Mensal;Sim;Transferencia bancaria;3.03;90.8;1442.2
0112-QWPNC;Sim;Masculino;Nao;Sim;Nao;49;Sim;Sim;DSL;Sim;Nao;Sim;Sim;Sim;Sim;Um ano;Nao;Cheque Eletronico;2.81;84.35;4059.35
0114-IGABW;Nao;Feminino;Nao;Sim;Nao;71;Nao;Sem servico de telefone;DSL;Nao;Sim;Sim;Sim;Sim;Sim;Dois anos;Nao;Transferencia bancaria;1.94;58.25;4145.9
0114-PEGZZ;Nao;Feminino;Nao;Nao;Nao;33;Sim;Sim;Fibra otica;Nao;Sim;Sim;Nao;Sim;Sim;Mensal;Nao;Cheque Eletronico;3.58;107.55;3645.5
0114-RSRRW;Nao;Feminino;Nao;Sim;Nao;10;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Sim;Transferencia bancaria;0.66;19.95;187.75
0115-TFERT;Sim;Masculino;Nao;Sim;Nao;21;Sim;Sim;Fibra otica;Nao;Sim;Sim;Sim;Sim;Sim;Mensal;Sim;Cheque Eletronico;3.71;111.2;2317.1
0117-LFRMW;Sim;Masculino;Nao;Sim;Sim;37;Nao;Sem servico de telefone;DSL;Sim;Sim;Sim;Nao;Nao;Nao;Mensal;Nao;Transferencia bancaria;1.34;40.2;1448.8
0118-JPNOY;Nao;Feminino;Sim;Nao;Nao;26;Sim;Nao;Fibra otica;Sim;Nao;Nao;Nao;Sim;Nao;Mensal;Sim;Cartao de credito (automatico);2.86;85.8;2193.65
0121-SNYRK;Nao;Masculino;Nao;Nao;Nao;50;Nao;Sem servico de telefone;DSL;Sim;Nao;Nao;Sim;Nao;Nao;Um ano;Sim;Cheque;1.18;35.4;1748.9
0122-OAHPZ;Sim;Feminino;Nao;Nao;Nao;7;Sim;Sim;Fibra otica;Nao;Nao;Nao;Nao;Nao;Nao;Mensal;Sim;Cheque Eletronico;2.46;73.85;511.25
0123-CRBRT;Nao;Feminino;Nao;Sim;Sim;61;Sim;Sim;DSL;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Nao;Cheque;2.94;88.1;5526.75
0125-LZQXK;Sim;Masculino;Nao;Nao;Nao;15;Sim;Nao;Fibra otica;Nao;Nao;Sim;Sim;Sim;Sim;Mensal;Sim;Cheque Eletronico;3.38;101.35;1553.95
0128-MKWSG;Nao;Feminino;Nao;Nao;Sim;26;Nao;Sem servico de telefone;DSL;Sim;Nao;Nao;Sim;Nao;Sim;Mensal;Nao;Cheque;1.53;45.8;1147.0
0129-KPTWJ;Nao;Masculino;Nao;Sim;Nao;72;Sim;Nao;Fibra otica;Nao;Nao;Sim;Nao;Sim;Sim;Mensal;Sim;Cheque Eletronico;3.16;94.65;6747.35
0129-QMPDR;Nao;Masculino;Nao;Sim;Sim;44;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Um ano;Sim;Transferencia bancaria;0.68;20.5;865.05
0130-SXOUN;Nao;Masculino;Nao;Nao;Nao;66;Sim;Sim;Fibra otica;Nao;Sim;Nao;Nao;Nao;Sim;Mensal;Nao;Cartao de credito (automatico);2.98;89.4;5976.9
0133-BMFZO;Sim;Feminino;Nao;Nao;Nao;2;Sim;Nao;Fibra otica;Sim;Sim;Nao;Sim;Nao;Nao;Mensal;Sim;Cheque Eletronico;2.88;86.25;181.65
0134-XWXCE;Nao;Feminino;Sim;Nao;Nao;44;Sim;Nao;DSL;Nao;Nao;Sim;Sim;Sim;Sim;Um ano;Nao;Transferencia bancaria;2.49;74.85;3268.05
0135-NMXAP;Sim;Feminino;Nao;Nao;Nao;12;Sim;Sim;Fibra otica;Nao;Sim;Nao;Nao;Sim;Nao;Mensal;Sim;Transferencia bancaria;2.99;89.75;1052.4
0136-IFMYD;Nao;Masculino;Sim;Sim;Nao;69;Sim;Sim;Fibra otica;Nao;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Cheque Eletronico;3.66;109.95;7634.25
0137-OCGAB;Sim;Feminino;Nao;Nao;Nao;1;Sim;Sim;Fibra otica;Nao;Sim;Nao;Nao;Nao;Nao;Mensal;Sim;Cheque;2.67;80.2;80.2
0137-UDEUO;Sim;Feminino;Nao;Nao;Nao;3;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Nao;Cheque;0.66;19.85;63.75
0139-IVFJG;Nao;Feminino;Nao;Sim;Nao;2;Sim;Nao;Fibra otica;Sim;Sim;Nao;Nao;Sim;Nao;Mensal;Nao;Cheque Eletronico;3.01;90.35;190.5
0141-YEAYS;Nao;Feminino;Sim;Nao;Nao;27;Sim;Sim;Fibra otica;Nao;Sim;Sim;Nao;Nao;Nao;Mensal;Sim;Transferencia bancaria;2.88;86.45;2401.05
0142-GVYSN;Nao;Masculino;Nao;Nao;Nao;26;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Sim;Cheque Eletronico;0.68;20.3;511.25
0147-ESWWR;Nao;Feminino;Sim;Sim;Nao;39;Sim;Sim;Fibra otica;Nao;Nao;Nao;Sim;Sim;Sim;Mensal;Sim;Cheque Eletronico;3.38;101.25;3949.15
0148-DCDOS;Sim;Masculino;Nao;Nao;Nao;25;Sim;Sim;Fibra otica;Nao;Nao;Nao;Nao;Sim;Sim;Mensal;Sim;Transferencia bancaria;3.16;94.7;2362.1
0151-ONTOV;Sim;Feminino;Nao;Nao;Nao;1;Sim;Nao;Fibra otica;Nao;Nao;Nao;Nao;Nao;Nao;Mensal;Nao;Cheque;2.36;70.9;70.9
0156-FVPTA;Sim;Masculino;Nao;Sim;Nao;22;Sim;Nao;DSL;Sim;Nao;Nao;Sim;Nao;Nao;Mensal;Sim;Cheque Eletronico;1.81;54.2;1152.7
0164-APGRB;Nao;Feminino;Nao;Nao;Nao;72;Sim;Sim;Fibra otica;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Cheque Eletronico;3.83;114.9;8496.7
0164-XAIRP;Nao;Feminino;Nao;Nao;Nao;24;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Dois anos;Sim;Transferencia bancaria;0.65;19.55;470.2
0168-XZKBB;Nao;Feminino;Nao;Sim;Nao;19;Sim;Sim;Fibra otica;Nao;Nao;Nao;Nao;Sim;Nao;Mensal;Sim;Cheque Eletronico;2.9;86.85;1564.4
0174-QRVVY;Nao;Masculino;Nao;Sim;Sim;71;Sim;Sim;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Dois anos;Nao;Cartao de credito (automatico);0.85;25.35;1847.55
0177-PXBAT;Nao;Masculino;Sim;Sim;Nao;33;Sim;Sim;Fibra otica;Sim;Nao;Sim;Sim;Sim;Sim;Mensal;Sim;Transferencia bancaria;3.66;109.9;3694.7
0178-CIIKR;Nao;Feminino;Nao;Nao;Nao;3;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Nao;Cheque;0.66;19.95;58.0
0178-SZBHO;Nao;Masculino;Nao;Sim;Sim;47;Sim;Sim;Fibra otica;Nao;Sim;Nao;Nao;Sim;Nao;Mensal;Nao;Cheque Eletronico;2.91;87.2;4017.45
0181-RITDD;Nao;Masculino;Nao;Sim;Sim;62;Sim;Nao;Fibra otica;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Nao;Cheque;3.6;108.15;6825.65
0186-CAERR;Nao;Masculino;Nao;Nao;Nao;71;Sim;Sim;Fibra otica;Sim;Sim;Sim;Sim;Sim;Sim;Um ano;Sim;Transferencia bancaria;3.88;116.3;8309.55
0187-QSXOE;Nao;Masculino;Sim;Sim;Nao;7;Sim;Nao;Fibra otica;Nao;Nao;Nao;Nao;Sim;Sim;Mensal;Sim;Cheque Eletronico;2.97;89.0;605.45
0187-WZNAB;Nao;Feminino;Nao;Sim;Sim;27;Sim;Nao;Fibra otica;Sim;Nao;Nao;Nao;Nao;Nao;Mensal;Nao;Cheque;2.48;74.4;1972.35
0188-GWFLE;Nao;Masculino;Nao;Nao;Nao;2;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Nao;Cheque;0.67;20.05;33.7
0191-EQUUH;Nao;Feminino;Nao;Nao;Sim;25;Nao;Sem servico de telefone;DSL;Sim;Nao;Nao;Sim;Nao;Nao;Dois anos;Nao;Transferencia bancaria;1.17;35.05;844.45
0191-ZHSKZ;Nao;Masculino;Sim;Nao;Nao;30;Sim;Nao;DSL;Sim;Sim;Nao;Nao;Sim;Sim;Mensal;Sim;Cheque Eletronico;2.49;74.75;2111.3
0193-ESZXP;Sim;Feminino;Sim;Sim;Nao;58;Sim;Nao;Fibra otica;Sim;Sim;Nao;Sim;Sim;Sim;Um ano;Sim;Cartao de credito (automatico);3.52;105.5;6205.5
0195-IESCP;Sim;Masculino;Nao;Sim;Nao;10;Sim;Sim;Fibra otica;Nao;Nao;Nao;Nao;Nao;Sim;Mensal;Sim;Cheque Eletronico;2.84;85.25;855.3
0196-JTUQI;Nao;Feminino;Nao;Nao;Nao;9;Sim;Sim;Fibra otica;Nao;Nao;Nao;Nao;Nao;Nao;Mensal;Sim;Cartao de credito (automatico);2.51;75.2;633.85
0196-VULGZ;Sim;Feminino;Sim;Sim;Nao;6;Sim;Sim;Fibra otica;Nao;Nao;Nao;Nao;Nao;Sim;Mensal;Sim;Cheque Eletronico;2.81;84.35;474.9
0197-PNKNK;Nao;Feminino;Nao;Sim;Sim;69;Sim;Sim;Fibra otica;Sim;Nao;Sim;Nao;Nao;Nao;Um ano;Nao;Transferencia bancaria;2.82;84.45;5848.6
0201-MIBOL;Nao;Feminino;Sim;Nao;Nao;66;Sim;Sim;Fibra otica;Sim;Nao;Nao;Nao;Sim;Sim;Dois anos;Sim;Transferencia bancaria;3.41;102.4;6471.85
0201-OAMXR;Sim;Feminino;Nao;Nao;Nao;70;Sim;Sim;Fibra otica;Sim;Sim;Sim;Sim;Sim;Sim;Um ano;Nao;Cartao de credito (automatico);3.85;115.55;8127.6
0203-HHYIJ;Sim;Masculino;Nao;Nao;Nao;25;Sim;Sim;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Um ano;Nao;Transferencia bancaria;0.84;25.3;676.35
0206-OYVOC;Nao;Feminino;Nao;Sim;Sim;46;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Dois anos;Sim;Cheque;0.64;19.25;864.2
0206-TBWLC;Nao;Feminino;Nao;Sim;Nao;54;Sim;Sim;Fibra otica;Sim;Sim;Sim;Sim;Sim;Sim;Um ano;Sim;Cheque;3.82;114.65;6049.5
0207-MDKNV;Sim;Feminino;Nao;Nao;Nao;15;Sim;Nao;Fibra otica;Sim;Nao;Sim;Sim;Sim;Sim;Mensal;Nao;Cheque Eletronico;3.5;105.1;1582.75
0208-BPQEJ;Nao;Feminino;Nao;Sim;Sim;12;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Mensal;Nao;Transferencia bancaria;0.65;19.4;198.1
0212-ISBBF;Nao;Feminino;Nao;Nao;Nao;22;Nao;Sem servico de telefone;DSL;Nao;Sim;Nao;Nao;Sim;Sim;Mensal;Sim;Cheque Eletronico;1.68;50.35;1098.85
0214-JHPFW;Nao;Feminino;Nao;Sim;Nao;70;Nao;Sem servico de telefone;DSL;Nao;Sim;Sim;Sim;Sim;Sim;Dois anos;Nao;Transferencia bancaria;1.93;57.8;4039.3
0215-BQKGS;Nao;Masculino;Nao;Nao;Nao;30;Sim;Nao;Fibra otica;Sim;Sim;Sim;Nao;Nao;Nao;Mensal;Sim;Cartao de credito (automatico);2.81;84.3;2438.6
0218-QNVAS;Nao;Masculino;Nao;Sim;Sim;71;Sim;Sim;Fibra otica;Nao;Sim;Nao;Nao;Sim;Sim;Um ano;Nao;Transferencia bancaria;3.35;100.55;7113.75
0219-QAERP;Nao;Masculino;Nao;Sim;Nao;30;Sim;Nao;Nao;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Sem servico de internet;Um ano;Nao;Cartao de credito (automatico);0.66;19.8;576.65
0219-YTZUE;Sim;Masculino;Nao;Sim;Sim;4;Sim;Sim;Fibra otica;Nao;Sim;Sim;Nao;Nao;Nao;Mensal;Sim;Transferencia bancaria;2.83;84.8;371.9
